City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Kapaa,US,2021-05-17 07:45:50,22.0752,-159.319,73.4,68,20,17.27
96,Sept-Iles,CA,2021-05-17 07:45:50,50.2001,-66.3821,42.8,93,98,5.75
97,Port Lincoln,AU,2021-05-17 07:45:50,-34.7333,135.8667,58.93,59,100,4.63
98,Qaanaaq,GL,2021-05-17 07:45:51,77.484,-69.3632,21.16,90,96,2.35
99,Fairbanks,US,2021-05-17 07:45:15,64.8378,-147.7164,48.2,93,90,3.44
100,Hermanus,ZA,2021-05-17 07:45:51,-34.4187,19.2345,55.0,87,64,1.01
101,Magadi,IN,2021-05-17 07:45:52,12.9667,77.2333,88.0,54,40,4.61
102,Cape Town,ZA,2021-05-17 07:42:02,-33.9258,18.4232,57.2,77,20,5.75
103,Nome,US,2021-05-17 07:45:52,64.5011,-165.4064,35.6,75,1,3.44
104,Hovd,MN,2021-05-17 07:45:53,48.0056,91.6419,70.23,18,38,5.1
105,Ostrovnoy,RU,2021-05-17 07:45:53,68.0531,39.5131,41.02,75,100,4.47
106,Caluquembe,AO,2021-05-17 07:45:55,-13.7833,14.6833,67.19,45,0,3.58
107,Turukhansk,RU,2021-05-17 07:45:55,65.8167,87.9833,32.16,59,99,5.53
108,Stornoway,GB,2021-05-17 07:45:56,58.2093,-6.3865,48.2,93,75,4.61
109,Chapais,CA,2021-05-17 07:45:56,49.7834,-74.8492,44.6,100,40,3.44
110,Petropavlovsk-Kamchatskiy,RU,2021-05-17 07:45:56,53.0452,158.6483,39.2,93,75,11.18
111,Ouango,CF,2021-05-17 07:45:57,4.3133,22.5552,85.51,59,86,1.05
112,Yar-Sale,RU,2021-05-17 07:45:57,66.8333,70.8333,32.72,91,75,12.53
113,Luganville,VU,2021-05-17 07:45:58,-15.5333,167.1667,80.6,81,82,8.72
114,Amahai,ID,2021-05-17 07:45:58,-3.3333,128.9167,81.09,85,74,9.1
115,Kaniama,CD,2021-05-17 07:45:58,-7.5667,24.1833,80.17,43,85,7.54
116,Torbay,CA,2021-05-17 07:45:59,47.6666,-52.7314,36.0,93,90,10.36
117,Ribeira Grande,PT,2021-05-17 07:45:59,38.5167,-28.7,64.4,94,75,12.66
118,Chaohu,CN,2021-05-17 07:46:00,31.6,117.8667,73.4,49,75,8.95
119,Beringovskiy,RU,2021-05-17 07:46:00,63.05,179.3167,30.94,96,87,1.05
120,Olafsvik,IS,2021-05-17 07:46:01,64.8945,-23.7142,37.27,71,100,17.02
121,Tasiilaq,GL,2021-05-17 07:46:01,65.6145,-37.6368,26.6,68,9,4.0
122,Te Anau,NZ,2021-05-17 07:46:02,-45.4167,167.7167,43.95,91,100,4.07
123,Dunedin,NZ,2021-05-17 07:46:02,-45.8742,170.5036,53.01,66,100,5.01
124,Morada Nova,BR,2021-05-17 07:46:03,-5.1067,-38.3725,71.94,86,55,2.8
125,Shenjiamen,CN,2021-05-17 07:46:03,29.9576,122.298,62.33,80,82,12.75
126,Alindao,CF,2021-05-17 07:46:04,5.0267,21.2088,84.63,62,70,1.74
