City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Smoky Lake,CA,2020-12-25 01:03:50,54.12,-112.47,35.6,43,0,5.82
98,Brisbane,AU,2020-12-25 01:01:16,-27.47,153.03,82.99,54,75,8.05
99,Escanaba,US,2020-12-25 01:03:51,45.75,-87.06,10.99,60,90,14.99
100,Luderitz,NA,2020-12-25 01:03:51,-26.65,15.16,62.6,77,0,11.41
101,Lebu,CL,2020-12-25 01:03:51,-37.62,-73.65,58.06,86,0,14.67
102,Stephenville,US,2020-12-25 01:03:09,32.22,-98.2,48.99,15,1,4.7
103,Coalville,GB,2020-12-25 01:03:52,52.72,-1.37,33.01,96,0,10.29
104,Tabou,CI,2020-12-25 01:03:52,4.42,-7.35,77.99,85,0,2.68
105,Pareora,NZ,2020-12-25 01:03:52,-44.49,171.21,52.03,73,100,8.23
106,Qasigiannguit,GL,2020-12-25 01:03:53,68.82,-51.19,24.8,85,100,18.34
107,Bathsheba,BB,2020-12-25 01:03:53,13.22,-59.52,80.6,74,40,20.8
108,Coihaique,CL,2020-12-25 01:03:53,-45.58,-72.07,57.2,41,20,11.41
109,Busselton,AU,2020-12-25 01:03:30,-33.65,115.33,73.0,76,14,4.0
110,Leavenworth,US,2020-12-25 01:03:54,39.23,-95.03,18.0,65,0,1.99
111,Namatanai,PG,2020-12-25 01:03:54,-3.67,152.43,86.13,67,95,6.42
112,Nicoya,CR,2020-12-25 01:03:54,10.15,-85.45,84.2,51,0,5.82
113,Byron Bay,AU,2020-12-25 01:00:10,-28.65,153.62,82.0,61,18,8.05
114,Tura,IN,2020-12-25 01:03:55,25.52,90.22,55.98,72,20,3.06
115,Ikwiriri,TZ,2020-12-25 01:03:55,-7.96,38.97,74.5,96,4,1.68
116,Hasaki,JP,2020-12-25 01:03:55,35.73,140.83,50.0,57,20,10.29
117,Castro,BR,2020-12-25 01:03:55,-24.79,-50.01,59.49,91,1,9.06
118,Manakara,MG,2020-12-25 01:03:55,-22.13,48.02,73.35,87,91,2.86
119,Airai,TL,2020-12-25 01:03:56,-8.93,125.41,70.77,87,100,1.03
120,Jesenik,CZ,2020-12-25 01:03:56,50.23,17.2,37.99,73,100,5.01
121,Dabat,ET,2020-12-25 01:03:56,12.98,37.77,51.82,54,0,4.52
122,Saint-Philippe,RE,2020-12-25 01:03:56,-21.36,55.77,77.0,73,0,5.82
123,Chicama,PE,2020-12-25 01:03:57,-7.84,-79.15,66.2,88,100,5.82
124,Miles City,US,2020-12-25 01:03:57,46.41,-105.84,42.8,28,1,9.17
