City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
110,Aras,ES,42.56,-2.36,39.2,80,75,12.75,broken clouds
111,Brae,GB,60.4,-1.35,44.6,87,100,32.21,light rain
112,Sao Joao Da Barra,BR,-21.64,-41.05,72.5,88,100,8.23,overcast clouds
113,Litovko,RU,49.24,135.17,-1.7,67,1,12.41,clear sky
114,Lorengau,PG,-2.02,147.27,82.85,72,93,2.28,overcast clouds
115,Kargil,IN,34.57,76.1,15.08,74,94,0.04,overcast clouds
116,Iqaluit,CA,63.75,-68.51,-16.6,62,20,4.7,few clouds
117,Sattahip,TH,12.67,100.9,86.0,58,40,8.05,scattered clouds
118,Grootfontein,NA,-19.57,18.12,83.73,43,58,8.88,light rain
119,Airai,TL,-8.93,125.41,65.03,100,100,2.33,moderate rain
120,Archidona,ES,37.1,-4.39,54.0,41,5,1.99,clear sky
121,Georgetown,MY,5.41,100.34,82.4,78,40,10.29,thunderstorm
122,Los Llanos De Aridane,ES,28.66,-17.92,64.4,88,75,5.82,light intensity drizzle
123,Bandarbeyla,SO,9.49,50.81,77.36,64,90,26.24,overcast clouds
124,Nikolskoye,RU,59.7,30.79,26.6,79,75,11.18,light snow
125,Synya,RU,65.37,58.04,-20.81,83,59,2.86,broken clouds
126,Saint George,US,37.1,-113.58,33.8,26,1,3.38,clear sky
127,Pisco,PE,-13.7,-76.22,66.2,88,0,8.05,clear sky
128,Kaukauna,US,44.28,-88.27,18.0,57,90,16.11,overcast clouds
129,Faanui,PF,-16.48,-151.75,81.05,72,100,6.87,overcast clouds
130,Maniitsoq,GL,65.42,-52.9,11.82,84,4,8.88,clear sky
131,Lebu,CL,-37.62,-73.65,56.37,95,31,15.66,scattered clouds
132,Raga,SS,8.46,25.68,88.52,19,10,8.01,clear sky
133,Cidreira,BR,-30.18,-50.21,72.21,82,100,13.2,overcast clouds
134,Kushmurun,KZ,52.45,64.63,3.61,93,50,5.7,scattered clouds
135,Bathurst,AU,-33.42,149.58,66.99,61,73,6.11,broken clouds
136,Constitucion,CL,-35.33,-72.42,57.9,76,0,6.76,clear sky
137,Sitka,US,57.05,-135.33,42.8,81,90,10.29,light rain
138,Kavieng,PG,-2.57,150.8,84.38,70,41,6.58,scattered clouds
139,Mar Del Plata,AR,-38.0,-57.56,66.99,93,75,11.41,broken clouds
140,Te Anau,NZ,-45.42,167.72,43.74,83,52,5.37,broken clouds
141,Rozsypne,UA,48.15,38.58,39.29,99,100,14.41,overcast clouds
142,Phan Thiet,VN,10.93,108.1,80.78,78,100,11.77,light rain
143,Pauini,BR,-7.71,-66.98,73.92,88,98,2.24,overcast clouds
144,Khasan,RU,42.43,130.64,25.32,74,16,8.59,few clouds
145,Angoche,MZ,-16.23,39.91,88.81,59,12,10.18,few clouds
146,Kirkenaer,NO,60.46,12.06,27.0,92,75,6.93,light snow
147,Suez,EG,29.97,32.53,67.57,40,0,10.16,clear sky
148,Tanete,ID,-3.94,119.78,84.4,64,100,7.7,overcast clouds
149,Miles City,US,46.41,-105.84,26.6,68,1,9.17,clear sky
